recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,31JUL18,1942,POST,31JUL18,JBU,   1 ,10,31,20180731,20180731,1458,1807,905   ,20180731,SC14,JFK ,1058,DM,-0400,FLL ,1407,-0400,321 ,,,,1058,1458,,1512,1532,,1413,1813,1806,1815,955 ,,,,1822,,0,,,321 ,,4887948,,,,0,0,0,> 202 ,,JFK,3,0,2018-07-31 15:12:00.000,0,2018-07-31 18:15:00.000,29,7,0,0,0001
,01AUG18,0353,POST,31JUL18,JBU,   7 ,10,31,20180731,20180731,2250,0400,630   ,20180801,SC05,FLL ,1850,DM,-0400,LAS ,2100,-0700,320 ,,,,1850,2250,,2245,2259,E10 ,2050,0350,0343,0351,648 ,,,,0353,,0,,,320 ,,4887961,,,,0,0,0,>   8 ,,JFK,3,0,2018-07-31 22:45:00.000,0,2018-08-01 03:51:00.000,17,7,0,0,0007
,01AUG18,0940,POST,31JUL18,JBU,   8 ,10,31,20180731,20180801,0450,0948,630   ,20180801,SC05,LAS ,2150,DM,-0700,FLL ,0548,-0400,320 ,,,E10 ,2150,0450,,0449,0506,,0540,0940,0933,0938,648 ,,,,,,0,,,320 ,,4887974,,,,0,0,0,>1423 ,,JFK,3,0,2018-08-01 04:49:00.000,0,2018-08-01 09:38:00.000,18,7,0,0,0008
,01AUG18,0322,POST,31JUL18,JBU,  11 ,10,31,20180731,20180801,0035,0325,603   ,20180801,SC01,BOS ,2035,DM,-0400,ORD ,2225,-0500,320 ,,,C25 ,2035,0035,,0033,0057,,2210,0310,0303,0319,590 ,,,,,,0,,,320 ,,4887987,,,,0,0,0,> 563 ,,JFK,3,0,2018-08-01 00:33:00.000,0,2018-08-01 03:19:00.000,18,7,0,0,0011
,28JUL18,1210,PLNK,31JUL18,JBU,  14 ,10,31,20180731,20180801,0346,0905,521   ,20180728,AU01,LGB ,2046,DM,-0700,JFK ,0505,-0400,320 ,,,,2046,0346,,,,,0505,0905,,,505 ,,,,,,0,,,320 ,,4888000,,,,0,0,0,> 905 ,,JFK,3,0,2018-08-01 03:46:00.000,0,2018-08-01 09:05:00.000,13,7,0,0,0014
,31JUL18,1722,POST,31JUL18,JBU,  15 ,10,31,20180731,20180731,1115,1724,988   ,20180731,SC14,JFK ,0715,09,-0400,SFO ,1024,-0700,32S ,,,,0715,1115,,1111,1141,,1018,1718,1711,1718,992 ,,,,1716,,0,,,32S ,,4888012,,,,0,0,0,> 416 ,,JFK,3,1,2018-07-31 11:11:00.000,3,2018-07-31 17:18:00.000,29,7,0,0,0015
,31JUL18,1842,POST,31JUL18,JBU,  16 ,10,31,20180731,20180731,1330,1909,929   ,20180731,,SFO ,0630,09,-0700,JFK ,1509,-0400,32S ,,,,0630,1330,,1440,1452,,1529,1929,,,,,,,1922,,0,,,32S ,,4888024,,,,0,0,0,>1623 ,,JFK,3,1,2018-07-31 14:40:00.000,0,2018-07-31 19:29:00.000,15,7,0,0,0016
,01AUG18,0223,POST,31JUL18,JBU,  19 ,10,31,20180731,20180731,2040,0257,937   ,20180801,SC05,BOS ,1640,10,-0400,SAN ,1957,-0700,32S ,,,C8  ,1640,2040,,2036,2052,35  ,1926,0226,0219,0222,964 ,,,,0226,,0,,,32S ,,4888039,,,,0,0,0,>  90 ,,JFK,3,0,2018-07-31 20:36:00.000,0,2018-08-01 02:22:00.000,18,7,0,0,0019
,01AUG18,0909,POST,31JUL18,JBU,  20 ,10,31,20180731,20180801,0343,0908,989   ,20180801,SC05,SAN ,2043,08,-0700,BOS ,0508,-0400,32S ,,,36  ,2043,0343,,0335,0355,,0508,0908,0901,0907,944 ,,,,,,0,,,32S ,,4888053,,,,0,0,0,>2819 ,,JFK,3,0,2018-08-01 03:35:00.000,0,2018-08-01 09:07:00.000,19,7,0,0,0020
,31JUL18,2042,POST,31JUL18,JBU,  21 ,10,31,20180731,20180731,1607,1921,603   ,20180731,SC01,BOS ,1207,DM,-0400,PBI ,1521,-0400,320 ,,,C34 ,1207,1607,,1630,1704,,1554,1954,1947,1950,590 ,,,,1958,1710,0,,,320 ,,4888064,,1959,,0,0,0,> 122 ,,JFK,3,1,2018-07-31 16:30:00.000,0,2018-07-31 19:50:00.000,18,7,0,0,0021
